2022-10-12 03:01:00.389 | DEBUG    | hcaptcha_challenger._solutions.kernel:_request_asset:307 - Downloading objects.yaml from https://raw.githubusercontent.com/QIN2DIM/hcaptcha-challenger/main/src/objects.yaml
2022-10-12 03:01:00.568 | DEBUG    | hcaptcha_challenger._solutions.kernel:request_assets:133 - Pulling AssetsObject from https://api.github.com/repos/qin2dim/hcaptcha-challenger/releases
2022-10-12 03:01:00.852 | DEBUG    | hcaptcha_challenger._solutions.kernel:_request_asset:307 - Downloading yolov6n.onnx from https://github.com/QIN2DIM/hcaptcha-challenger/releases/download/model/yolov6n.onnx
2022-10-12 03:01:02.753 | INFO     | services.deploy:job_loop_claim:126 - >> STARTUP [AwesomeScheduler] SynergyTunnel Pattern: True
2022-10-12 03:01:02.806 | SUCCESS  | services.bricklayer.core:refresh_ctx_cookies:1221 - >> MATCH [__Context__] 🎮 启动挑战者上下文 - ctx_session=False
2022-10-12 03:01:03.502 | INFO     | services.utils.toolbox:get_challenge_ctx:127 - Please use `xvfb` to empower the headful Chrome.
2022-10-12 03:01:03.502 | INFO     | services.utils.toolbox:get_challenge_ctx:128 - CMD: xvfb-run python3 main.py claim
2022-10-12 03:01:32.095 | DEBUG    | services.bricklayer.core:login:909 - >> MATCH [CookieManager] 实体信息注入完毕
2022-10-12 03:01:32.183 | DEBUG    | services.bricklayer.core:fall_in_captcha_login:63 - >> ARMOR [ArmorUtils] 正在检测隐藏在登录界面的人机挑战...
2022-10-12 03:01:34.365 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] Get label - label=「海龟」
2022-10-12 03:01:35.168 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.22s
2022-10-12 03:01:35.170 | DEBUG    | hcaptcha_challenger._solutions.kernel:_request_asset:307 - Downloading turtle.onnx from https://github.com/QIN2DIM/hcaptcha-challenger/releases/download/model/turtle.onnx
2022-10-12 03:01:37.044 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] Submit the challenge - turtle(ResNet)_model: 0.43s
2022-10-12 03:01:41.156 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] 获取响应 - desc=继续挑战(continue)
2022-10-12 03:01:41.193 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] Get label - label=「海龟」
2022-10-12 03:01:42.233 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.48s
2022-10-12 03:01:42.980 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] Submit the challenge - turtle(ResNet)_model: 0.01s
2022-10-12 03:01:48.146 | DEBUG    | hcaptcha_challenger.core:log:321 - >> Challenge [ArmorCaptcha] 获取响应 - desc=退火成功(success)
2022-10-12 03:01:48.709 | DEBUG    | services.bricklayer.core:load_ctx_cookies:1157 - >> LOAD [CookieManager] Load context cookie.
2022-10-12 03:01:49.470 | INFO     | services.deploy:promotions_splitter:294 - >> GET [GameClaimer] 🎮 已在库 - game=『Rising Hell』 url=https://store.epicgames.com/zh-CN/p/rising-hell-253707
2022-10-12 03:01:49.471 | INFO     | services.deploy:promotions_splitter:294 - >> GET [GameClaimer] 🎮 已在库 - game=『Slain: Back From Hell』 url=https://store.epicgames.com/zh-CN/p/slain-aea303
2022-10-14 05:43:27.451 | INFO     | services.deploy:job_loop_claim:126 - >> STARTUP [AwesomeScheduler] SynergyTunnel Pattern: True
2022-10-14 05:43:27.516 | DEBUG    | services.bricklayer.core:load_ctx_cookies:1157 - >> LOAD [CookieManager] Load context cookie.
2022-10-14 05:43:27.731 | SUCCESS  | services.bricklayer.core:refresh_ctx_cookies:1221 - >> MATCH [__Context__] 🎮 启动挑战者上下文 - ctx_session=False
2022-10-14 05:43:28.204 | INFO     | services.utils.toolbox:get_challenge_ctx:127 - Please use `xvfb` to empower the headful Chrome.
2022-10-14 05:43:28.205 | INFO     | services.utils.toolbox:get_challenge_ctx:128 - CMD: xvfb-run python3 main.py claim
2022-10-14 05:43:54.837 | DEBUG    | services.bricklayer.core:login:909 - >> MATCH [CookieManager] 实体信息注入完毕
2022-10-14 05:43:54.934 | DEBUG    | services.bricklayer.core:fall_in_captcha_login:63 - >> ARMOR [ArmorUtils] 正在检测隐藏在登录界面的人机挑战...
2022-10-14 05:43:57.104 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Get label - label=「企鹅」
2022-10-14 05:43:57.800 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.14s
2022-10-14 05:43:57.802 | DEBUG    | hcaptcha_challenger._solutions.kernel:_request_asset:307 - Downloading penguin.onnx from https://github.com/QIN2DIM/hcaptcha-challenger/releases/download/model/penguin.onnx
2022-10-14 05:43:59.494 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Submit the challenge - penguin(ResNet)_model: 0.39s
2022-10-14 05:44:03.571 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] 获取响应 - desc=继续挑战(continue)
2022-10-14 05:44:03.603 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Get label - label=「企鹅」
2022-10-14 05:44:04.236 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.09s
2022-10-14 05:44:05.823 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Submit the challenge - penguin(ResNet)_model: 0.01s
2022-10-14 05:44:12.798 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] 获取响应 - desc=退火成功(success)
2022-10-14 05:44:13.365 | DEBUG    | services.bricklayer.core:load_ctx_cookies:1157 - >> LOAD [CookieManager] Load context cookie.
2022-10-14 05:44:13.830 | DEBUG    | services.deploy:promotions_splitter:307 - >> STARTUP [GameClaimer] 🍜 发现周免游戏 - game=『ToeJam & Earl: Back in the Groove!』 url=https://store.epicgames.com/zh-CN/p/toejam-and-earl-back-in-the-groove-cddc16
2022-10-14 05:44:13.830 | DEBUG    | services.deploy:promotions_splitter:307 - >> STARTUP [GameClaimer] 🍜 发现周免游戏 - game=『Darkwood』 url=https://store.epicgames.com/zh-CN/p/darkwood-fa73bd
2022-10-14 05:44:13.831 | DEBUG    | services.bricklayer.game:cart_balancing:80 - >> REMOVE [GameClaimer] 将购物车商品移至愿望清单
2022-10-14 05:44:27.417 | SUCCESS  | services.bricklayer.core:purchase_status:530 - >> GET [GameClaimer] 🛒 添加至购物车 优惠截止于2022/10/20 10:00 - game=『ToeJam & Earl: Back in the Groove!』
2022-10-14 05:44:27.535 | DEBUG    | services.bricklayer.core:_activate_payment:735 - [🔖] 资源订单加载完毕 - mode=add
2022-10-14 05:44:36.828 | SUCCESS  | services.bricklayer.core:purchase_status:530 - >> GET [GameClaimer] 🛒 添加至购物车 优惠截止于2022/10/20 10:00 - game=『Darkwood』
2022-10-14 05:44:36.922 | DEBUG    | services.bricklayer.core:_activate_payment:735 - [🔖] 资源订单加载完毕 - mode=add
2022-10-14 05:44:37.261 | DEBUG    | services.bricklayer.game:empty_shopping_payment:98 - [🛵] 重载身份令牌
2022-10-14 05:44:40.869 | DEBUG    | services.bricklayer.game:empty_shopping_payment:107 - [🛵] 审查购物车状态
2022-10-14 05:44:41.396 | DEBUG    | services.bricklayer.core:_activate_payment:735 - [🔖] 资源订单加载完毕 - mode=下单
2022-10-14 05:44:44.828 | DEBUG    | services.bricklayer.game:empty_shopping_payment:131 - [🛵] 处理购物订单...
2022-10-14 05:44:44.853 | DEBUG    | services.bricklayer.core:cart_handle_payment:975 - [🌀] 切换至内联订单框架
2022-10-14 05:44:44.854 | DEBUG    | services.bricklayer.core:cart_handle_payment:981 - [⚔] 激活人机挑战...
2022-10-14 05:45:04.444 | DEBUG    | services.bricklayer.core:cart_handle_payment:992 - [⚔] 捕获隐藏在订单中的人机挑战...
2022-10-14 05:45:04.521 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Get label - label=「房子」
2022-10-14 05:45:05.187 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.11s
2022-10-14 05:45:05.189 | DEBUG    | hcaptcha_challenger._solutions.kernel:_request_asset:307 - Downloading house.onnx from https://github.com/QIN2DIM/hcaptcha-challenger/releases/download/model/house.onnx
2022-10-14 05:45:07.297 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Submit the challenge - house(ResNet)_model: 0.34s
2022-10-14 05:45:11.390 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] 获取响应 - desc=继续挑战(continue)
2022-10-14 05:45:11.498 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Get label - label=「房子」
2022-10-14 05:45:12.152 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.09s
2022-10-14 05:45:13.336 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] Submit the challenge - house(ResNet)_model: 0.01s
2022-10-14 05:45:18.617 | DEBUG    | hcaptcha_challenger.core:log:322 - >> Challenge [ArmorCaptcha] 获取响应 - desc=退火成功(success)
2022-10-14 05:45:18.835 | DEBUG    | services.bricklayer.core:cart_handle_payment:996 - [🌀] 弹出内联订单框架...
2022-10-14 05:45:25.184 | DEBUG    | services.bricklayer.game:empty_shopping_payment:98 - [🛵] 重载身份令牌
2022-10-14 05:45:28.802 | DEBUG    | services.bricklayer.game:empty_shopping_payment:107 - [🛵] 审查购物车状态
2022-10-14 05:45:33.960 | SUCCESS  | services.bricklayer.game:empty_shopping_payment:117 - >> ADVANCE [GameClaimer] ✔ 购物车已清空
2022-10-28 05:39:31.556 | INFO     | services.deploy:job_loop_claim:108 - >> STARTUP [AwesomeScheduler] SynergyTunnel Pattern: False
2022-10-28 05:39:32.724 | INFO     | services.bricklayer.core:refresh_ctx_cookies:676 - >> MATCH [__context__] 🎮启动挑战者上下文
2022-10-28 05:39:32.785 | INFO     | services.bricklayer.core:login:486 - >> MATCH [CookieManager] 刷新令牌
2022-10-28 05:39:42.496 | INFO     | services.bricklayer.core:login:517 - >> MATCH [CookieManager] 实体信息注入完毕
2022-10-28 05:39:42.497 | INFO     | services.bricklayer.core:fall_in_captcha_login:36 - >> ARMOR [ArmorUtils] 正在检测隐藏在登录界面的人机挑战...
2022-10-28 05:39:45.031 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] Get label - label=「仙人掌」
2022-10-28 05:39:46.390 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.81s
2022-10-28 05:39:46.394 | DEBUG    | hcaptcha_challenger._solutions.kernel:_request_asset:307 - Downloading cactus.onnx from https://github.com/QIN2DIM/hcaptcha-challenger/releases/download/model/cactus.onnx
2022-10-28 05:39:48.945 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] Submit the challenge - cactus(ResNet)_model: 0.32s
2022-10-28 05:39:48.961 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] 获取响应 - desc=继续挑战(continue)
2022-10-28 05:39:48.985 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] Get label - label=「仙人掌」
2022-10-28 05:39:50.209 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] Download challenge images - timeit=0.63s
2022-10-28 05:39:51.980 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] Submit the challenge - cactus(ResNet)_model: 0.02s
2022-10-28 05:39:57.302 | DEBUG    | hcaptcha_challenger.core:log:323 - >> Challenge [ArmorCaptcha] 获取响应 - desc=继续挑战(continue)
2022-10-28 05:39:57.303 | INFO     | services.bricklayer.core:login:486 - >> MATCH [CookieManager] 刷新令牌
2022-10-28 05:40:00.976 | INFO     | services.bricklayer.core:login:497 - >> MATCH [CookieManager] 持久化信息未过期
2022-10-28 05:40:10.096 | INFO     | services.bricklayer.core:load_ctx_cookies:644 - >> LOAD [CookieManager] Load context cookie
2022-10-28 05:40:10.097 | INFO     | services.explorer.explorer:get_oder_history:216 - 初始化订单数据
2022-10-28 05:40:10.923 | DEBUG    | services.deploy:promotions_splitter:263 - >> STARTUP [GameClaimer] 🍜 发现周免游戏 - game=『Warhammer 40,000: Mechanicus - Standard Edition』 url=https://store.epicgames.com/zh-CN/p/warhammer-mechanicus-0e4b71
2022-10-28 05:40:10.923 | DEBUG    | services.deploy:promotions_splitter:263 - >> STARTUP [GameClaimer] 🍜 发现周免游戏 - game=『Saturnalia』 url=https://store.epicgames.com/zh-CN/p/saturnalia
2022-10-28 05:40:12.010 | DEBUG    | services.bricklayer.game:cart_balancing:69 - >> REMOVE [GameClaimer] 将购物车商品移至愿望清单
